variable,method,time,vi,train_loss,test_loss
all,full model,18.05360198020935,0.0,0.02443636581301689,0.02745152823626995
X1,dropout,0.0,2.1991402972489595,2.1525471210479736,2.2265918254852295
X1,lazy,1.229029893875122,1.677775727584958,1.6407761573791504,1.705227255821228
X1,retrain,9.721259832382202,1.7117540705949068,1.655196189880371,1.7392055988311768
X2,dropout,0.0,1.368937836959958,1.3859221935272217,1.396389365196228
X2,lazy,1.1437890529632568,1.0497020352631807,1.078170657157898,1.0771535634994507
X2,retrain,7.696799039840698,1.0747312176972628,1.0727298259735107,1.1021827459335327
X3,dropout,0.0,0.9592401254922152,1.000000238418579,0.9866916537284851
X3,lazy,1.154102087020874,1.010359751060605,1.0330811738967896,1.037811279296875
X3,retrain,11.750836849212646,0.9775963891297579,0.9998025298118591,1.0050479173660278
